Date,Name,Year,Letterboxd URI
2021-05-31,Fate/stay night: Heaven's Feel II. Lost Butterfly,2019,https://boxd.it/dDPs
2021-05-31,Fate/stay night: Heaven's Feel III. Spring Song,2020,https://boxd.it/dDPC
2021-07-26,The Bird with the Crystal Plumage,1970,https://boxd.it/1DDW
2021-08-08,Estômago: A Gastronomic Story,2007,https://boxd.it/2hnO
2022-01-23,Private Desert,2021,https://boxd.it/wkT4
2022-02-06,Amanhã,2020,https://boxd.it/qMFW
2022-02-06,Mulher Oceano,2020,https://boxd.it/sfyC
2022-02-07,The House,2022,https://boxd.it/yVza
2022-02-07,Wheel of Fortune and Fantasy,2021,https://boxd.it/tWcm
2022-03-28,O Black Hole!,2020,https://boxd.it/rqz0
2022-03-28,The Batman,2022,https://boxd.it/eDGs
2022-03-30,Straw Dogs,1971,https://boxd.it/2982
2022-03-30,Fantastic Planet,1973,https://boxd.it/1KnQ
2022-04-03,Gandahar,1987,https://boxd.it/1AtE
2022-05-08,Phantom of the Paradise,1974,https://boxd.it/1s34
2023-01-13,White Noise,2022,https://boxd.it/rXgK
2023-01-29,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2023-01-29,All Quiet on the Western Front,2022,https://boxd.it/H08
2023-01-29,Pickpocket,1959,https://boxd.it/29O8
2023-01-30,The Menu,2022,https://boxd.it/lScm
2023-01-31,The Banshees of Inisherin,2022,https://boxd.it/p7XS
2023-02-12,"BARDO, False Chronicle of a Handful of Truths",2022,https://boxd.it/pAgy
2023-02-14,We Jam Econo: The Story of the Minutemen,2005,https://boxd.it/Bw8
2023-05-08,Funny Games,1997,https://boxd.it/1WKM
2023-05-09,Amour,2012,https://boxd.it/34Q6
2023-05-26,X,2022,https://boxd.it/sxVa
2023-05-26,The Northman,2022,https://boxd.it/nK2s
2023-05-27,Citizen Kane,1941,https://boxd.it/71O
2023-05-27,Closer,2004,https://boxd.it/270K
2023-06-01,Beau Is Afraid,2023,https://boxd.it/u2gE
2023-06-04,Frances Ha,2012,https://boxd.it/41Xg
2023-07-03,Evil Dead Rise,2023,https://boxd.it/qIvo
2023-07-08,Titane,2021,https://boxd.it/nlQC
2023-07-08,In the Mood for Love,2000,https://boxd.it/29tE
2023-08-12,Barbie,2023,https://boxd.it/bCLK
2023-08-12,Oppenheimer,2023,https://boxd.it/wUow
2023-08-12,Asteroid City,2023,https://boxd.it/s3ds
2023-08-12,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq
2023-08-12,Aftersun,2022,https://boxd.it/Arw0
2023-09-11,Last Night in Soho,2021,https://boxd.it/lbJC
2023-09-11,Ponyo,2008,https://boxd.it/1S0A
2023-11-18,Pictures of Ghosts,2023,https://boxd.it/G55S
2023-11-21,The Killer,2023,https://boxd.it/u6WE
2023-12-10,La Haine,1995,https://boxd.it/2as8
2023-12-10,Tekkonkinkreet,2006,https://boxd.it/1Pui
2023-12-10,Good Time,2017,https://boxd.it/fcFu
